,place_id,name,cre_id,Longitud,Latitud,regular,premium
4092,6271,Puerto Alisas SA de CV,PL/4917/EXP/ES/2015,-99.08144,19.37997,20.89,22.89
4097,6276,"SOLUCIONES P&L, S.A.P.I. DE C.V.",PL/4714/EXP/ES/2015,-99.21676,19.2928,21.35,22.99
4190,6369,ERNESTO AGUILAR CORDERO,PL/4966/EXP/ES/2015,-99.09607,19.25065,21.59,23.19
4248,6428,"SERVICIO NORTE, S.A. DE C.V.",PL/4133/EXP/ES/2015,-99.12212,19.45169,20.49,22.99
4358,6538,"ESTACIONES ECOLOGICAS DE SERVICIOS, S.A. DE C.V.",PL/4690/EXP/ES/2015,-99.05636,19.46288,20.09,22.19
4362,6542,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,PL/3569/EXP/ES/2015,-99.13245,19.4481,20.59,22.69
4454,6635,"SERVICIO PEÑA LABRA, S.A. DE C.V.",PL/4218/EXP/ES/2015,-99.11069,19.29066,20.59,22.49
4503,6684,"SERVICIO ORIENTAL, S.A. DE C.V.",PL/4092/EXP/ES/2015,-99.07299,19.39704,20.69,22.59
4526,6707,ALBERTO CABALLERO NAVARRO,PL/4769/EXP/ES/2015,-99.09742,19.35692,20.29,22.57
4551,6733,CONTROLADORA DE ESTACIONES DE SERVICIO S.A. DE C.V,PL/4073/EXP/ES/2015,-99.14208,19.46682,20.35,22.39
4580,6762,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/4519/EXP/ES/2015,-99.06039,19.30416,21.69,22.99
4645,6827,"Servicio Ferrocarriles, S.A. de C.V.",PL/4641/EXP/ES/2015,-99.1535,19.44671,20.99,22.99
4656,6838,Servicio El Escudo SA de CV,PL/4166/EXP/ES/2015,-99.11258,19.3372,21.19,22.99
4810,6992,"SOLUCIONES P&L, S.A.P.I. DE C.V.",PL/4649/EXP/ES/2015,-99.2149,19.28146,21.35,22.99
4831,7013,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/4112/EXP/ES/2015,-99.14447,19.40212,21.79,23.09
4878,7060,Servicio Dakota SA de CV,PL/3279/EXP/ES/2015,-99.17307,19.39735,20.89,22.85
4896,7078,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/4542/EXP/ES/2015,-99.17171,19.3604,21.79,23.09
